Tiempo,RmsElectro
135.37109375,0.93
135.375,0.93
135.37890625,0.93
135.3828125,0.93
135.38671875,0.93
135.390625,0.93
135.39453125,0.93
135.3984375,0.93
135.40234375,0.931
135.40625,0.931
135.41015625,0.931
135.4140625,0.931
135.41796875,0.931
135.421875,0.931
135.42578125,0.931
135.4296875,0.931
135.43359375,0.931
135.4375,0.931
135.44140625,0.931
135.4453125,0.931
135.44921875,0.931
135.453125,0.931
135.45703125,0.931
135.4609375,0.931
135.46484375,0.931
135.46875,0.931
135.47265625,0.932
135.4765625,0.932
135.48046875,0.932
135.484375,0.932
135.48828125,0.932
135.4921875,0.932
135.49609375,0.932
135.5,0.932
135.50390625,0.933
135.5078125,0.933
135.51171875,0.933
135.515625,0.933
135.51953125,0.933
135.5234375,0.933
135.52734375,0.933
135.53125,0.934
135.53515625,0.934
135.5390625,0.934
135.54296875,0.934
135.546875,0.934
135.55078125,0.934
135.5546875,0.934
135.55859375,0.934
135.5625,0.935
135.56640625,0.935
135.5703125,0.935
135.57421875,0.935
135.578125,0.935
135.58203125,0.935
135.5859375,0.935
135.58984375,0.935
135.59375,0.935
135.59765625,0.935
135.6015625,0.935
135.60546875,0.936
135.609375,0.936
135.61328125,0.936
135.6171875,0.936
135.62109375,0.936
135.625,0.936
135.62890625,0.936
135.6328125,0.936
135.63671875,0.936
135.640625,0.936
135.64453125,0.936
135.6484375,0.937
135.65234375,0.937
135.65625,0.937
135.66015625,0.937
135.6640625,0.937
135.66796875,0.937
135.671875,0.937
135.67578125,0.937
135.6796875,0.937
135.68359375,0.937
135.6875,0.937
135.69140625,0.937
135.6953125,0.937
135.69921875,0.937
135.703125,0.938
135.70703125,0.938
135.7109375,0.938
135.71484375,0.938
135.71875,0.938
135.72265625,0.938
135.7265625,0.938
135.73046875,0.938
135.734375,0.938
135.73828125,0.938
135.7421875,0.938
135.74609375,0.938
135.75,0.939
135.75390625,0.939
135.7578125,0.939
135.76171875,0.939
135.765625,0.939
135.76953125,0.939
135.7734375,0.939
135.77734375,0.939
135.78125,0.939
135.78515625,0.939
135.7890625,0.939
135.79296875,0.939
135.796875,0.939
135.80078125,0.939
135.8046875,0.94
135.80859375,0.94
135.8125,0.94
135.81640625,0.94
135.8203125,0.94
135.82421875,0.94
135.828125,0.94
135.83203125,0.94
135.8359375,0.94
135.83984375,0.94
135.84375,0.94
135.84765625,0.94
135.8515625,0.94
135.85546875,0.94
135.859375,0.94
135.86328125,0.94
135.8671875,0.94
135.87109375,0.94
135.875,0.94
135.87890625,0.94
135.8828125,0.94
135.88671875,0.94
135.890625,0.94
135.89453125,0.94
135.8984375,0.94
135.90234375,0.94
135.90625,0.94
135.91015625,0.94
135.9140625,0.94
135.91796875,0.94
135.921875,0.94
135.92578125,0.94
135.9296875,0.94
135.93359375,0.94
135.9375,0.94
135.94140625,0.94
135.9453125,0.94
135.94921875,0.94
135.953125,0.94
135.95703125,0.941
135.9609375,0.94
135.96484375,0.941
135.96875,0.941
135.97265625,0.941
135.9765625,0.941
135.98046875,0.941
135.984375,0.941
135.98828125,0.941
135.9921875,0.941
135.99609375,0.941
136,0.941
136.00390625,0.941
136.0078125,0.941
136.01171875,0.941
136.015625,0.941
136.01953125,0.941
136.0234375,0.941
136.02734375,0.941
136.03125,0.941
136.03515625,0.941
136.0390625,0.941
136.04296875,0.941
136.046875,0.941
136.05078125,0.941
136.0546875,0.941
136.05859375,0.941
136.0625,0.941
136.06640625,0.941
136.0703125,0.941
136.07421875,0.941
136.078125,0.941
136.08203125,0.941
136.0859375,0.941
136.08984375,0.941
136.09375,0.941
136.09765625,0.941
136.1015625,0.941
136.10546875,0.941
136.109375,0.941
136.11328125,0.942
136.1171875,0.942
136.12109375,0.942
136.125,0.942
136.12890625,0.942
136.1328125,0.942
136.13671875,0.942
136.140625,0.942
136.14453125,0.942
136.1484375,0.942
136.15234375,0.942
136.15625,0.942
136.16015625,0.942
136.1640625,0.942
136.16796875,0.942
136.171875,0.942
136.17578125,0.942
136.1796875,0.942
136.18359375,0.942
136.1875,0.942
136.19140625,0.942
136.1953125,0.942
136.19921875,0.942
136.203125,0.942
136.20703125,0.942
136.2109375,0.942
136.21484375,0.942
136.21875,0.942
136.22265625,0.942
136.2265625,0.942
136.23046875,0.942
136.234375,0.942
136.23828125,0.942
136.2421875,0.942
136.24609375,0.942
136.25,0.942
136.25390625,0.942
136.2578125,0.942
136.26171875,0.942
136.265625,0.942
136.26953125,0.942
136.2734375,0.942
136.27734375,0.942
136.28125,0.942
136.28515625,0.942
136.2890625,0.942
136.29296875,0.942
136.296875,0.942
136.30078125,0.942
136.3046875,0.942
136.30859375,0.942
136.3125,0.942
136.31640625,0.942
136.3203125,0.942
136.32421875,0.942
136.328125,0.942
136.33203125,0.942
136.3359375,0.942
136.33984375,0.942
136.34375,0.942
136.34765625,0.942
136.3515625,0.942
136.35546875,0.942
136.359375,0.942
136.36328125,0.942
136.3671875,0.942
136.37109375,0.942
136.375,0.942
136.37890625,0.942
136.3828125,0.942
136.38671875,0.942
136.390625,0.942
136.39453125,0.942
136.3984375,0.942
136.40234375,0.942
136.40625,0.942
136.41015625,0.942
136.4140625,0.942
136.41796875,0.942
136.421875,0.942
136.42578125,0.942
136.4296875,0.942
136.43359375,0.942
136.4375,0.942
136.44140625,0.942
136.4453125,0.942
136.44921875,0.942
136.453125,0.942
136.45703125,0.942
136.4609375,0.942
136.46484375,0.942
136.46875,0.942
136.47265625,0.942
136.4765625,0.942
136.48046875,0.942
136.484375,0.942
136.48828125,0.942
136.4921875,0.942
136.49609375,0.942
136.5,0.942
136.50390625,0.942
136.5078125,0.943
136.51171875,0.942
136.515625,0.942
136.51953125,0.942
136.5234375,0.942
136.52734375,0.943
136.53125,0.943
136.53515625,0.943
136.5390625,0.943
136.54296875,0.943
136.546875,0.943
136.55078125,0.943
136.5546875,0.943
136.55859375,0.943
136.5625,0.943
136.56640625,0.943
136.5703125,0.943
136.57421875,0.943
136.578125,0.943
136.58203125,0.943
136.5859375,0.943
136.58984375,0.943
136.59375,0.943
136.59765625,0.943
136.6015625,0.943
136.60546875,0.943
136.609375,0.943
136.61328125,0.943
136.6171875,0.943
136.62109375,0.942
136.625,0.942
136.62890625,0.942
136.6328125,0.942
136.63671875,0.942
136.640625,0.942
136.64453125,0.942
136.6484375,0.942
136.65234375,0.942
136.65625,0.942
136.66015625,0.942
136.6640625,0.942
136.66796875,0.942
136.671875,0.942
136.67578125,0.942
136.6796875,0.942
136.68359375,0.942
136.6875,0.942
136.69140625,0.942
136.6953125,0.942
136.69921875,0.942
136.703125,0.942
136.70703125,0.942
136.7109375,0.942
136.71484375,0.942
136.71875,0.942
136.72265625,0.942
136.7265625,0.942
136.73046875,0.942
136.734375,0.942
136.73828125,0.942
136.7421875,0.942
136.74609375,0.942
136.75,0.942
136.75390625,0.942
136.7578125,0.941
136.76171875,0.941
136.765625,0.941
136.76953125,0.941
136.7734375,0.941
136.77734375,0.941
136.78125,0.941
136.78515625,0.941
136.7890625,0.941
136.79296875,0.941
136.796875,0.941
136.80078125,0.941
136.8046875,0.941
136.80859375,0.941
136.8125,0.941
136.81640625,0.941
136.8203125,0.941
136.82421875,0.941
136.828125,0.941
136.83203125,0.941
136.8359375,0.941
136.83984375,0.941
136.84375,0.941
136.84765625,0.941
136.8515625,0.941
136.85546875,0.941
136.859375,0.941
136.86328125,0.941
136.8671875,0.941
136.87109375,0.941
136.875,0.941
136.87890625,0.941
136.8828125,0.941
136.88671875,0.941
136.890625,0.941
136.89453125,0.941
136.8984375,0.941
136.90234375,0.941
136.90625,0.941
136.91015625,0.941
136.9140625,0.941
136.91796875,0.941
136.921875,0.941
136.92578125,0.941
136.9296875,0.941
136.93359375,0.941
136.9375,0.941
136.94140625,0.941
136.9453125,0.941
136.94921875,0.941
136.953125,0.941
136.95703125,0.941
136.9609375,0.941
136.96484375,0.941
136.96875,0.941
136.97265625,0.941
136.9765625,0.941
136.98046875,0.941
136.984375,0.941
136.98828125,0.94
136.9921875,0.94
136.99609375,0.94
137,0.94
137.00390625,0.94
137.0078125,0.94
137.01171875,0.94
137.015625,0.94
137.01953125,0.94
137.0234375,0.94
137.02734375,0.94
137.03125,0.94
137.03515625,0.94
137.0390625,0.94
137.04296875,0.94
137.046875,0.94
137.05078125,0.94
137.0546875,0.94
137.05859375,0.94
137.0625,0.94
137.06640625,0.94
137.0703125,0.94
137.07421875,0.94
137.078125,0.94
137.08203125,0.94
137.0859375,0.94
137.08984375,0.94
137.09375,0.94
137.09765625,0.94
137.1015625,0.94
137.10546875,0.94
137.109375,0.94
137.11328125,0.94
137.1171875,0.94
137.12109375,0.94
137.125,0.94
137.12890625,0.939
137.1328125,0.939
137.13671875,0.939
137.140625,0.939
137.14453125,0.939
137.1484375,0.939
137.15234375,0.939
137.15625,0.939
137.16015625,0.939
137.1640625,0.939
137.16796875,0.939
137.171875,0.939
137.17578125,0.939
137.1796875,0.939
137.18359375,0.939
137.1875,0.939
137.19140625,0.939
137.1953125,0.938
137.19921875,0.938
137.203125,0.938
137.20703125,0.938
137.2109375,0.938
137.21484375,0.938
137.21875,0.938
137.22265625,0.938
137.2265625,0.938
137.23046875,0.938
137.234375,0.938
137.23828125,0.938
137.2421875,0.938
137.24609375,0.938
137.25,0.938
137.25390625,0.938
137.2578125,0.938
137.26171875,0.938
137.265625,0.938
137.26953125,0.938
137.2734375,0.938
137.27734375,0.938
137.28125,0.938
137.28515625,0.938
137.2890625,0.938
137.29296875,0.938
137.296875,0.937
137.30078125,0.937
137.3046875,0.937
137.30859375,0.937
137.3125,0.937
137.31640625,0.937
137.3203125,0.937
137.32421875,0.937
137.328125,0.937
137.33203125,0.937
137.3359375,0.937
137.33984375,0.937
137.34375,0.937
137.34765625,0.937
137.3515625,0.937
137.35546875,0.937
137.359375,0.937
137.36328125,0.937
137.3671875,0.937
137.37109375,0.937
137.375,0.937
137.37890625,0.937
137.3828125,0.937
137.38671875,0.937
137.390625,0.937
137.39453125,0.936
137.3984375,0.936
137.40234375,0.936
137.40625,0.936
137.41015625,0.936
137.4140625,0.936
137.41796875,0.936
137.421875,0.936
137.42578125,0.936
137.4296875,0.936
137.43359375,0.936
137.4375,0.936
137.44140625,0.936
137.4453125,0.936
137.44921875,0.936
137.453125,0.936
137.45703125,0.936
137.4609375,0.936
137.46484375,0.936
137.46875,0.936
137.47265625,0.936
137.4765625,0.936
137.48046875,0.936
137.484375,0.936
137.48828125,0.936
137.4921875,0.936
137.49609375,0.936
137.5,0.936
137.50390625,0.936
137.5078125,0.936
137.51171875,0.936
137.515625,0.936
137.51953125,0.936
